,requests,path,throughput,exec_time,delay,esc_delay
0,100,128→192,3570.98,2.6,3.5,1.4
1,500,128→192,5195.62,2.6,3.5,1.4
2,1000,128→192,4966.84,2.6,3.5,1.4
3,2000,128→192,5060.07,2.6,3.5,1.4
4,5000,128→192,5077.47,2.6,3.5,1.4
5,100,128→256,3570.98,2.6,3.5,1.4
6,500,128→256,5195.62,2.6,3.5,1.4
7,1000,128→256,4966.84,2.6,3.5,1.4
8,2000,128→256,5060.07,2.6,3.5,1.4
9,5000,128→256,5077.47,2.6,3.5,1.4
10,100,192→256,537.93,2.6,3.5,1.4
11,500,192→256,545.06,2.6,3.5,1.4
12,1000,192→256,548.79,2.6,3.5,1.4
13,2000,192→256,542.88,2.6,3.5,1.4
14,5000,192→256,529.94,2.6,3.5,1.4
